"","aacode","welshId","usedColumns"
"2358","j0192103","1788","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1965,1970]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (62.5,87.5]; children [-0.5,0.5]; hasdisabledorsickoccupant FALSE"
"2359","j0644102","1788","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1965,1970]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (62.5,87.5]; children [-0.5,0.5]; hasdisabledorsickoccupant FALSE"
"2360","k1173806","1788","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1965,1970]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (62.5,87.5]; children [-0.5,0.5]; hasdisabledorsickoccupant FALSE"
"2361","k3064118","1788","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1965,1970]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (62.5,87.5]; children [-0.5,0.5]; hasdisabledorsickoccupant FALSE"
"2362","k3114206","1788","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1965,1970]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (62.5,87.5]; children [-0.5,0.5]; hasdisabledorsickoccupant FALSE"
"2363","k6095724","1789","builtformtype purposebuiltlowriseflat; mainheatingfuel mains_gas; buildyear (1955,1962]; morphologytype urban; tenuretype localauthority; numofbedrooms (1.5,2.5]; externalwallconstructiontype systembuild; hasdisabledorsickoccupant FALSE"
"2364","k3017806","1790","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1962,1965]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; insulationthickness [-17.5,12.5]"
"2365","k3072724","1791","builtformtype detached; mainheatingfuel mains_gas; buildyear (2000,2012]; morphologytype urban; tenuretype housingassociation; numofbedrooms (1.5,2.5]"
"2366","k2082105","1792","builtformtype purposebuiltlowriseflat; mainheatingfuel mains_gas; buildyear (2000,2012]; morphologytype urban; tenuretype housingassociation; numofbedrooms (0.5,1.5]; externalwallconstructiontype cavity; householdincomebeforetax (8.92e+03,1.11e+04]; children [-0.5,0.5]; hasdisabledorsickoccupant TRUE"
"2367","k2080303","1793","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1900,1920]; morphologytype urban; tenuretype housingassociation; numofbedrooms (1.5,2.5]; externalwallconstructiontype graniteorwhinstone; insulationthickness (87.5,112]"
"2368","k1054825","1794","builtformtype purposebuiltlowriseflat; mainheatingfuel mains_gas; buildyear (1975,1981]; morphologytype urban; tenuretype localauthority; numofbedrooms (0.5,1.5]; externalwallconstructiontype cavity; insulationthickness (87.5,112]; householdincomebeforetax [-2.21e+03,8.92e+03]"
"2369","k1002616","1795","builtformtype purposebuiltlowriseflat; mainheatingfuel mains_gas; buildyear (1981,1990]; morphologytype urban; tenuretype housingassociation; numofbedrooms (0.5,1.5]; externalwallconstructiontype cavity; householdincomebeforetax (1.28e+04,1.45e+04]; children [-0.5,0.5]; chiefincomeearnersage (80,100]; hasdisabledorsickoccupant TRUE"
"2370","k7017213","1796","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (3.5,4.5]; externalwallconstructiontype graniteorwhinstone; insulationthickness [-17.5,12.5]; children (2.5,3.5]"
"2371","j0132101","1797","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (175,225]"
"2372","j1192301","1798","builtformtype purposebuiltlowriseflat; mainheatingfuel mains_gas; buildyear (1975,1981]; morphologytype urban; tenuretype localauthority; numofbedrooms (1.5,2.5]; externalwallconstructiontype cavity; insulationthickness (225,275]; children [-0.5,0.5]"
"2373","j0974110","1799","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1970,1975]; morphologytype urban; tenuretype housingassociation; numofbedrooms (3.5,4.5]"
"2374","k7147322","1800","builtformtype endterrace; mainheatingfuel mains_gas; buildyear (1920,1935]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (12.5,37.5]"
"2375","k2052419","1801","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1970,1975]; morphologytype urban; tenuretype localauthority; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; children (2.5,3.5]"
"2376","j0031110","1802","builtformtype convertedflat; mainheatingfuel mains_gas; buildyear [1170,1882]; morphologytype urban; tenuretype housingassociation; numofbedrooms (0.5,1.5]; children [-0.5,0.5]; chiefincomeearnersage (31,35]"
"2377","k6130101","1803","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1945,1950]; morphologytype urban; tenuretype localauthority; numofbedrooms (2.5,3.5]; insulationthickness (225,275]; householdincomebeforetax (1.98e+04,2.2e+04]; children (2.5,3.5]"
"2378","j0733306","1804","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1965,1970]; morphologytype urban; tenuretype privaterented; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; householdincomebeforetax (1.8e+04,1.98e+04]; chiefincomeearnersage (42,46]"
"2379","j0261306","1805","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1955,1962]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; householdincomebeforetax (3.49e+04,4.14e+04]"
"2380","j1373209","1806","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1945,1950]; morphologytype urban; tenuretype privaterented; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (87.5,112]; householdincomebeforetax (1.28e+04,1.45e+04]"
"2381","j0121303","1807","builtformtype detached; mainheatingfuel mains_gas; buildyear (1920,1935]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (3.5,4.5]; externalwallconstructiontype cavity; children [-0.5,0.5]"
"2382","j0191302","1807","builtformtype detached; mainheatingfuel mains_gas; buildyear (1920,1935]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (3.5,4.5]; externalwallconstructiontype cavity; children [-0.5,0.5]"
"2383","j0201309","1807","builtformtype detached; mainheatingfuel mains_gas; buildyear (1920,1935]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (3.5,4.5]; externalwallconstructiontype cavity; children [-0.5,0.5]"
"2384","j0701102","1807","builtformtype detached; mainheatingfuel mains_gas; buildyear (1920,1935]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (3.5,4.5]; externalwallconstructiontype cavity; children [-0.5,0.5]"
"2385","j1271107","1807","builtformtype detached; mainheatingfuel mains_gas; buildyear (1920,1935]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (3.5,4.5]; externalwallconstructiontype cavity; children [-0.5,0.5]"
"2386","j1334307","1807","builtformtype detached; mainheatingfuel mains_gas; buildyear (1920,1935]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (3.5,4.5]; externalwallconstructiontype cavity; children [-0.5,0.5]"
"2387","k1053314","1807","builtformtype detached; mainheatingfuel mains_gas; buildyear (1920,1935]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (3.5,4.5]; externalwallconstructiontype cavity; children [-0.5,0.5]"
"2388","k1105707","1807","builtformtype detached; mainheatingfuel mains_gas; buildyear (1920,1935]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (3.5,4.5]; externalwallconstructiontype cavity; children [-0.5,0.5]"
"2389","k2155805","1807","builtformtype detached; mainheatingfuel mains_gas; buildyear (1920,1935]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (3.5,4.5]; externalwallconstructiontype cavity; children [-0.5,0.5]"
"2390","k5013620","1807","builtformtype detached; mainheatingfuel mains_gas; buildyear (1920,1935]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (3.5,4.5]; externalwallconstructiontype cavity; children [-0.5,0.5]"
"2391","k5101611","1807","builtformtype detached; mainheatingfuel mains_gas; buildyear (1920,1935]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (3.5,4.5]; externalwallconstructiontype cavity; children [-0.5,0.5]"
"2392","j0773113","1808","builtformtype endterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (4.5,5.5]; chiefincomeearnersage (42,46]"
"2393","j1214206","1809","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype sandstone; insulationthickness [-17.5,12.5]"
"2394","j0332204","1810","builtformtype convertedflat; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (1.5,2.5]; externalwallconstructiontype graniteorwhinstone; householdincomebeforetax (2.2e+04,2.43e+04]"
"2395","k1076609","1811","builtformtype detached; mainheatingfuel mains_gas; buildyear (1955,1962]; morphologytype urban; tenuretype privaterented; numofbedrooms (2.5,3.5]"
"2396","k7018531","1812","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1981,1990]; morphologytype urban; tenuretype housingassociation; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (87.5,112]; hasdisabledorsickoccupant FALSE"
"2397","j0132107","1813","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype privaterented; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; householdincomebeforetax (1.62e+04,1.8e+04]; children (1.5,2.5]; chiefincomeearnersage [16,26]; hasdisabledorsickoccupant FALSE"
"2398","j1392407","1813","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype privaterented; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; householdincomebeforetax (1.62e+04,1.8e+04]; children (1.5,2.5]; chiefincomeearnersage [16,26]; hasdisabledorsickoccupant FALSE"
"2399","k2009116","1814","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1945,1950]; morphologytype urban; tenuretype localauthority; numofbedrooms (2.5,3.5]; insulationthickness (225,275]; householdincomebeforetax (1.62e+04,1.8e+04]; children [-0.5,0.5]; hasdisabledorsickoccupant TRUE"
"2400","j1211101","1815","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1975,1981]; morphologytype urban; tenuretype housingassociation; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; children (2.5,3.5]"
"2401","k7134828","1816","builtformtype purposebuiltlowriseflat; mainheatingfuel mains_gas; buildyear (1945,1950]; morphologytype urban; tenuretype localauthority; numofbedrooms (1.5,2.5]; externalwallconstructiontype cavity; householdincomebeforetax (1.62e+04,1.8e+04]; chiefincomeearnersage (46,49]"
"2402","k5066805","1817","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1935,1945]; morphologytype urban; tenuretype localauthority; numofbedrooms (3.5,4.5]; externalwallconstructiontype cavity; chiefincomeearnersage (42,46]"
"2403","k4174204","1818","builtformtype endterrace; mainheatingfuel mains_gas; buildyear (1970,1975]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (37.5,62.5]"
"2404","j1154202","1819","builtformtype purposebuiltlowriseflat; mainheatingfuel mains_gas; buildyear (1955,1962]; morphologytype urban; tenuretype localauthority; numofbedrooms (0.5,1.5]; externalwallconstructiontype cavity; householdincomebeforetax [-2.21e+03,8.92e+03]; children [-0.5,0.5]"
"2405","j1201108","1819","builtformtype purposebuiltlowriseflat; mainheatingfuel mains_gas; buildyear (1955,1962]; morphologytype urban; tenuretype localauthority; numofbedrooms (0.5,1.5]; externalwallconstructiontype cavity; householdincomebeforetax [-2.21e+03,8.92e+03]; children [-0.5,0.5]"
"2406","j1522307","1819","builtformtype purposebuiltlowriseflat; mainheatingfuel mains_gas; buildyear (1955,1962]; morphologytype urban; tenuretype localauthority; numofbedrooms (0.5,1.5]; externalwallconstructiontype cavity; householdincomebeforetax [-2.21e+03,8.92e+03]; children [-0.5,0.5]"
"2407","k8007630","1820","builtformtype endterrace; mainheatingfuel mains_gas; buildyear (1955,1962]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype systembuild"
"2408","j1373302","1821","builtformtype purposebuiltlowriseflat; mainheatingfuel mains_gas; buildyear (1955,1962]; morphologytype urban; tenuretype localauthority; numofbedrooms (0.5,1.5]; externalwallconstructiontype cavity; householdincomebeforetax (1.45e+04,1.62e+04]"
"2409","k1145105","1822","builtformtype detached; mainheatingfuel mains_gas; buildyear (1965,1970]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (3.5,4.5]; externalwallconstructiontype cavity; insulationthickness (87.5,112]; children [-0.5,0.5]; hasdisabledorsickoccupant FALSE"
"2410","k5169017","1822","builtformtype detached; mainheatingfuel mains_gas; buildyear (1965,1970]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (3.5,4.5]; externalwallconstructiontype cavity; insulationthickness (87.5,112]; children [-0.5,0.5]; hasdisabledorsickoccupant FALSE"
"2411","k8007630","1823","builtformtype endterrace; mainheatingfuel mains_gas; buildyear (1955,1962]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype systembuild"
"2412","j1114203","1824","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1955,1962]; morphologytype urban; tenuretype housingassociation; numofbedrooms (2.5,3.5]; externalwallconstructiontype systembuild; chiefincomeearnersage [16,26]"
"2413","j0544408","1825","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1955,1962]; morphologytype urban; tenuretype localauthority; numofbedrooms (3.5,4.5]; externalwallconstructiontype cavity"
"2414","j1451102","1826","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1962,1965]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; insulationthickness (87.5,112]; children [-0.5,0.5]; chiefincomeearnersage (64,68]"
"2415","k3058112","1826","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1962,1965]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; insulationthickness (87.5,112]; children [-0.5,0.5]; chiefincomeearnersage (64,68]"
"2416","j0791203","1827","builtformtype detached; mainheatingfuel oil; buildyear (1975,1981]; morphologytype village; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; children [-0.5,0.5]"
"2417","k5087715","1828","builtformtype semidetached; mainheatingfuel bulk_lpg; buildyear [1170,1882]; morphologytype village; tenuretype owneroccupied; hasdisabledorsickoccupant FALSE"
"2418","k7174826","1828","builtformtype semidetached; mainheatingfuel bulk_lpg; buildyear [1170,1882]; morphologytype village; tenuretype owneroccupied; hasdisabledorsickoccupant FALSE"
"2419","j1404106","1829","builtformtype semidetached; mainheatingfuel oil; buildyear [1170,1882]; morphologytype hamletsandisolateddwellings; tenuretype owneroccupied; externalwallconstructiontype sandstone"
"2420","k3045612","1830","builtformtype detached; mainheatingfuel oil; buildyear (1900,1920]; morphologytype hamletsandisolateddwellings; tenuretype owneroccupied; householdincomebeforetax (5.27e+04,4.25e+05]"
"2421","k3026902","1831","builtformtype detached; mainheatingfuel oil; buildyear (1970,1975]; morphologytype hamletsandisolateddwellings; tenuretype privaterented"
"2422","k4065922","1832","builtformtype midterrace; mainheatingfuel electricity; buildyear (1955,1962]; morphologytype village"
"2423","k1001501","1833","builtformtype semidetached; mainheatingfuel mains_gas; buildyear [1170,1882]; morphologytype village; tenuretype privaterented; numofbedrooms (2.5,3.5]"
"2424","j1572303","1834","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype sandstone; insulationthickness (87.5,112]"
"2425","j0191108","1835","builtformtype semidetached; mainheatingfuel electricity; buildyear (1950,1955]; morphologytype urban; tenuretype owneroccupied"
"2426","j1181406","1836","builtformtype endterrace; mainheatingfuel mains_gas; buildyear (1945,1950]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; children [-0.5,0.5]; hasdisabledorsickoccupant TRUE"
"2427","j1191106","1836","builtformtype endterrace; mainheatingfuel mains_gas; buildyear (1945,1950]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; children [-0.5,0.5]; hasdisabledorsickoccupant TRUE"
