M2,M5,M12,M6,M8,Heating System Type,Heating System,Flue,Efficiency,Heating_type,Responsiveness(R),HeatCode_4a,Rd_SAP,Tariff,basicefficiency,spaceheatingsystemtype,fluetype,mainheatingfuel,iscondensing,installationyear
Warm air system,Bottled gas,Condensing,1998+,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,notapplicable,mains_gas,TRUE,2005
Warm air system,Bottled gas,Ducted on/off,Not applicable,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,notapplicable,mains_gas,FALSE,1995
Warm air system,Bottled gas,Stub ducted on/off,Not applicable,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,notapplicable,mains_gas,FALSE,1995
Warm air system,Bottled gas,Modulating,Not applicable,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, modulating control, pre 1998",,72,1,1,508,,0,72,warm_air,notapplicable,mains_gas,FALSE,1995
Warm air system,Bottled gas,Flue recovery,Not applicable,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,notapplicable,mains_gas,FALSE,1995
Warm air system,Bottled gas,Condensing,Not applicable,Not applicable,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,notapplicable,mains_gas,TRUE,1995
Warm air system,Oil,Ducted on/off,old system,Fan assisted,Warm air system,"Oil-fired warm air, Ducted output (on/off control)",,70,1,1,512,rd,0,70,warm_air,fanassistedbalancedflue,oil,FALSE,1985
Warm air system,Oil,Modulating,old system,Fan assisted,Warm air system,"Oil-fired warm air, Ducted output (modulating control)",,72,1,1,513,,0,72,warm_air,fanassistedbalancedflue,oil,FALSE,1985
Warm air system,Oil,Stub ducted on/off,old system,Fan assisted,Warm air system,"Oil-fired warm air, Stub duct system",,70,1,1,514,,0,70,warm_air,fanassistedbalancedflue,oil,FALSE,1985
Warm air system,Oil,Ducted on/off,old system,Balanced,Warm air system,"Oil-fired warm air, Ducted output (on/off control)",,70,1,1,512,rd,0,70,warm_air,balancedflue,oil,FALSE,1985
Warm air system,Oil,Modulating,old system,Balanced,Warm air system,"Oil-fired warm air, Ducted output (modulating control)",,72,1,1,513,,0,72,warm_air,balancedflue,oil,FALSE,1985
Warm air system,Oil,Stub ducted on/off,old system,Balanced,Warm air system,"Oil-fired warm air, Stub duct system",,70,1,1,514,,0,70,warm_air,balancedflue,oil,FALSE,1985
Warm air system,Oil,Ducted on/off,old system,Open,Warm air system,"Oil-fired warm air, Ducted output (on/off control)",,70,1,1,512,rd,0,70,warm_air,openflue,oil,FALSE,1985
Warm air system,Oil,Modulating,old system,Open,Warm air system,"Oil-fired warm air, Ducted output (modulating control)",,72,1,1,513,,0,72,warm_air,openflue,oil,FALSE,1985
Warm air system,Oil,Stub ducted on/off,old system,Open,Warm air system,"Oil-fired warm air, Stub duct system",,70,1,1,514,,0,70,warm_air,openflue,oil,FALSE,1985
Warm air system,Peak electric,Electricaire,old system,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,1985
Warm air system,Off-peak electric,Electricaire,old system,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,1985
Warm air system,Oil,Ducted on/off,pre 1998,Fan assisted,Warm air system,"Oil-fired warm air, Ducted output (on/off control)",,70,1,1,512,rd,0,70,warm_air,fanassistedbalancedflue,oil,FALSE,1995
Warm air system,Oil,Modulating,pre 1998,Fan assisted,Warm air system,"Oil-fired warm air, Ducted output (modulating control)",,72,1,1,513,,0,72,warm_air,fanassistedbalancedflue,oil,FALSE,1995
Warm air system,Oil,Stub ducted on/off,pre 1998,Fan assisted,Warm air system,"Oil-fired warm air, Stub duct system",,70,1,1,514,,0,70,warm_air,fanassistedbalancedflue,oil,FALSE,1995
Warm air system,Oil,Ducted on/off,pre 1998,Balanced,Warm air system,"Oil-fired warm air, Ducted output (on/off control)",,70,1,1,512,rd,0,70,warm_air,balancedflue,oil,FALSE,1995
