M2,M5,M12,M6,M8,Heating System Type,Heating System,Flue,Efficiency,Heating_type,Responsiveness(R),HeatCode_4a,Rd_SAP,Tariff,basicefficiency,spaceheatingsystemtype,fluetype,mainheatingfuel,iscondensing,installationyear
Warm air system,Peak electric,Ducted on/off,pre 1998,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Peak electric,Stub ducted on/off,pre 1998,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Peak electric,Modulating,pre 1998,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Peak electric,Flue recovery,pre 1998,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Peak electric,Condensing,pre 1998,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Off-peak electric,Ducted on/off,pre 1998,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Off-peak electric,Stub ducted on/off,pre 1998,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Off-peak electric,Modulating,pre 1998,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Off-peak electric,Flue recovery,pre 1998,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Off-peak electric,Condensing,pre 1998,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Peak electric,Ducted on/off,1998+,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Peak electric,Stub ducted on/off,1998+,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Peak electric,Modulating,1998+,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Peak electric,Flue recovery,1998+,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Peak electric,Condensing,1998+,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Off-peak electric,Ducted on/off,1998+,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Off-peak electric,Stub ducted on/off,1998+,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Off-peak electric,Modulating,1998+,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Off-peak electric,Flue recovery,1998+,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
Warm air system,Off-peak electric,Condensing,1998+,Not applicable,Warm air system,Electricaire system,,100,2,0.75,515,rd,0,100,warm_air,notapplicable,electricity,FALSE,2000
