M2,M5,M6,M7,M8,Heating System Type,HeatCode_4a,winterefficiency,summerefficiency,basicefficiency,spaceheatingsystemtype,fluetype,mainheatingfuel,iscondensing,installationyear
Boiler,Gas (mains),old system,CPSU,Balanced,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (non-condensing),120,74,72,74,cpsu,balancedflue,mains_gas,FALSE,1985
Boiler,Gas (mains),old system,CPSU,Open,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (non-condensing),120,74,72,74,cpsu,openflue,mains_gas,FALSE,1985
Boiler,Gas (mains),old system,CPSU,Unobtainable,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (non-condensing),120,74,72,74,cpsu,notapplicable,mains_gas,FALSE,1985
Boiler,Gas (mains),1998+,CPSU,Fan assisted,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (condensing),121,83,81,83,cpsu,fanassistedbalancedflue,mains_gas,FALSE,2005
Boiler,Gas (mains),1998+,CPSU,Balanced,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (condensing),121,83,81,83,cpsu,balancedflue,mains_gas,FALSE,2005
Boiler,Gas (mains),1998+,CPSU,Open,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (condensing),121,83,81,83,cpsu,openflue,mains_gas,FALSE,2005
Boiler,Gas (mains),1998+,CPSU,Unobtainable,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (condensing),121,83,81,83,cpsu,notapplicable,mains_gas,FALSE,2005
Boiler,Gas (mains),pre 1998,CPSU,Fan assisted,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (condensing),121,83,81,83,cpsu,fanassistedbalancedflue,mains_gas,FALSE,1995
Boiler,Gas (mains),pre 1998,CPSU,Balanced,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (condensing),121,83,81,83,cpsu,balancedflue,mains_gas,FALSE,1995
Boiler,Gas (mains),pre 1998,CPSU,Open,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (condensing),121,83,81,83,cpsu,openflue,mains_gas,FALSE,1995
