aacode,manufacturer,brand,model,qualifier,boilertype,fueltype,fluetype,condensing,annualefficiency,winterefficiency,summerefficiency,storeboilervolume,storesolarvolume,storeinsulationthickness,row
K5115822,ideal boilers,ideal,icos,he18,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.4,90.4,79.7,0.0,0.0,0.0,2278
K5117904,baxi potterton,potterton,suprima,80l,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,78.8,79.7,69.6,0.0,0.0,0.0,1653
K5117907,worcester bosch group,worcester,greenstar,24i system,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.2,90.2,79.5,0.0,0.0,0.0,2488
K5117914,baxi potterton,main,combi,24 he,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,86.4,87.3,77.2,0.0,0.0,0.0,2883
K5117922,hepworth heating,glow-worm,24cxi,,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.5,89.4,79.3,0.0,0.0,0.0,2335
K5117924,vaillant,vaillant,thermocompact,615e,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,79.0,80.0,69.3,0.0,0.0,0.0,1652
K5117925,potterton international heating,potterton international heating,kingfisher 2,cf40,REGULAR,MAINS_GAS,OPEN_FLUE,false,65.0,66.0,56.0,0.0,0.0,0.0,596
K5118302,worcester heat systems,worcester,greenstar,30 si,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.1,90.0,86.7,0.0,0.0,0.0,2605
K5118316,vokera,vokera,compact,29he,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,86.2,87.1,77.0,0.0,0.0,0.0,2896
K5118325,worcester bosch group,worcester,greenstar,24i system,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.2,90.2,79.5,0.0,0.0,0.0,2488
K5118326,baxi potterton,potterton,suprima,50l,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,78.1,79.0,68.9,0.0,0.0,0.0,1657
K5118905,vokera,vokera,linea,28he,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.5,89.4,79.3,0.0,0.0,0.0,2583
K5118918,vaillant group uk,glow-worm,betacom 24c,,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,85.6,86.5,76.4,0.0,0.0,0.0,2973
K5118923,worcester heat systems,worcester,greenstar,28i junior,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.1,90.0,86.7,0.0,0.0,0.0,2612
K5120703,worcester heat systems,worcester,greenstar,24i junior,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.1,90.0,86.7,0.0,0.0,0.0,2611
K5120718,vaillant,vaillant,ecomax,828/2e,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.8,89.7,79.6,0.0,0.0,0.0,1603
K5120725,vaillant,vaillant,ecotec pro,28,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.8,89.7,79.6,0.0,0.0,0.0,1884
